"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PIGX",-0.410518698252831,9.02646719042115,-2.64217355137027,0.0134796373432097,0.136068790283568,-3.26215577717935
"TERF2",0.320616359285351,10.0187535139959,2.6418156948009,0.0134909252258311,0.136068790283568,-3.26290893490565
"TSC2",0.556546103551872,9.90483930230642,2.64172685315976,0.0134937289260775,0.136068790283568,-3.26309590505853
"TMEM26-AS1",-0.847980561896866,5.06618629789652,-2.64169624487907,0.0134946950003212,0.136068790283568,-3.26316032034877
"NR2E1",-1.07244224830673,3.03296637007196,-2.64138727634101,0.0135044504349926,0.136075351868593,-3.26381052211841
"POU5F1P4",1.02483397413473,5.21619798001703,2.64111964312304,0.0135129060537021,0.136075351868593,-3.26437370116597
"OFCC1",-0.536000425676772,6.82627778569333,-2.64103034506248,0.0135157284395643,0.136075351868593,-3.26456160321895
"RBFOX3",-1.22258812900398,3.75389896513561,-2.64084980547535,0.0135214363159617,0.136075351868593,-3.26494148556293
"TAF4B",0.490684550324936,7.23171973270139,2.6398989411519,0.0135515356124017,0.136140771248067,-3.26694199860094
"PDE4A",0.438110292334992,9.21789194594283,2.63968787766975,0.0135582252225989,0.136140771248067,-3.26738599620561
"GLYR1",0.291351300437686,10.4494697770483,2.63964306288824,0.0135596460132853,0.136140771248067,-3.26748026688318
"IGHV1-69",-0.818065578470714,5.25429796708721,-2.63943368625327,0.0135662858491415,0.136140771248067,-3.2679206913696
"PLEKHG4B",0.916597641128665,7.10436196863851,2.63941028413419,0.0135670281748097,0.136140771248067,-3.26796991655269
"ATP6V1G3",-0.902616578924079,6.67950356181745,-2.63940828700331,0.0135670915264467,0.136140771248067,-3.26797411740559
"HOXD4",-1.25987273986727,4.9144953893652,-2.63910624273224,0.0135766759459593,0.136171448838752,-3.26860942941827
"HEYL",0.570910622835203,6.68810263744786,2.63859979070718,0.0135927607636456,0.136186011285638,-3.26967459287778
"ARPP19",0.401197248717661,11.2035303719785,2.63858416261824,0.0135932573911083,0.136186011285638,-3.26970745979294
"CABLES2",0.456394480347824,7.88462427821095,2.63844401624347,0.0135977117010826,0.136186011285638,-3.27000219194392
"LINC00838",-0.968002192344228,4.61680250856117,-2.63785584369221,0.0136164205881691,0.136307949285213,-3.27123903809034
"SDR16C5",0.311870192250925,11.476533172628,2.63695803156678,0.0136450249139778,0.136515234724571,-3.27312670571166
"EDA2R",-1.20419421608628,4.76583392354962,-2.6367953254538,0.0136502147270375,0.136515234724571,-3.27346875865332
"E2F5",0.356623104791971,8.48228475635037,2.63656624424676,0.0136575248152996,0.136518421582833,-3.27395032953901
"GRHL1",0.402457865640475,11.180101410853,2.63637369115577,0.0136636720963711,0.136518421582833,-3.27435509283835
"CYB5D1",0.261550097147911,11.9569893338537,2.63617039899561,0.0136701650218837,0.136518421582833,-3.27478241199619
"CACNG4",-0.884843584344214,9.05591868349598,-2.63562283391735,0.0136876679473947,0.136627812783994,-3.27593329616784
"CLEC11A",-1.32885447497192,6.44175036869301,-2.63508567476003,0.0137048585386774,0.136676212621229,-3.27706217423894
"EGLN2",-1.21624230442609,3.14892155150153,-2.6350387197629,0.0137063621853908,0.136676212621229,-3.27716084715361
"MBIP",0.430990301642792,8.41896414045781,2.63485736817436,0.0137121710773767,0.136676212621229,-3.27754193630868
"RNF113A",0.386713495265504,9.78157689781407,2.63444748350273,0.0137253085900684,0.136702114120614,-3.27840320495613
"PPP1R9A",0.558624788505105,10.0931390472073,2.63436745407416,0.013727875039914,0.136702114120614,-3.27857135742598
"EIF3F",0.387356961780146,13.282107880144,2.63406242991664,0.0137376609074684,0.13673429477653,-3.27921222656009
"TENT4A",0.308919428585936,10.4433802939109,2.63378490371563,0.0137465702254345,0.136757724388657,-3.27979528386861
"PTN",0.673167560032176,8.87783905814749,2.63305353243883,0.0137700749554586,0.13692626488121,-3.28133165760825
"SERINC5",0.314217935493478,11.6537814990568,2.63278673119471,0.0137786587027396,0.136946344857815,-3.28189205879161
"CPEB1",-0.567327132064886,9.35643296118595,-2.63119235612688,0.0138300582407258,0.137258137067962,-3.28524026759599
"LINC00358",-1.66864794088863,3.85314198669607,-2.63111561494919,0.0138325367267721,0.137258137067962,-3.2854013953685
"CMPK2",0.336997417400234,11.1338235259876,2.63066217152315,0.0138471898968316,0.137258137067962,-3.28635340124252
"WDR48",0.380263924845892,9.903294797379,2.63058832244111,0.0138495777225801,0.137258137067962,-3.28650843858952
"DUSP5P1",-1.14609461557049,6.27835925578476,-2.6305791889504,0.0138498730702274,0.137258137067962,-3.28652761308904
"NONO",0.333894913260279,13.223316305361,2.63048662959765,0.013852866472378,0.137258137067962,-3.28672192645575
"METTL9",-0.291679037589683,11.7749182276181,-2.63027180436483,0.0138598163192163,0.137258137067962,-3.28717290191662
