"","symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","g","ENTREZID"
"4037","DBF4",-0.0721769948800013,8.33530496962034,-0.309683108479075,0.759155710997377,0.904690188668301,-6.33483959039868,"stable","10926"
"4038","DBF4B",0.416213125860197,6.63110075262538,1.16507708156366,0.25407693873107,0.563109858260658,-5.71611235957683,"stable","80174"
"4039","DBH",-0.0322532966829439,4.66415488849498,-0.0687516485413623,0.945688890192286,0.978878062766116,-6.38068978079923,"stable","1621"
"4040","DBH-AS1",-0.20837805283368,5.747734116363,-0.46839199906637,0.64322619885207,0.846944266627864,-6.27299107237613,"stable","138948"
"4041","DBI",-0.0644204909038848,13.3071085045098,-0.540876274504657,0.592983341950688,0.819201919789056,-6.23648552996019,"stable","1622"
"4042","DBIL5P",0.0804487283209143,5.36811253707327,0.177360890301607,0.860535556986874,0.948670863271191,-6.36723168605706,"stable","100131454"
"4043","DBIL5P2",-0.770971610501702,6.90143262067184,-2.87344233372503,0.00777378760510855,0.101709859792232,-2.76365036245437,"stable","100169989"
"4044","DBN1",0.169940008340623,6.9370368798478,0.642676931879206,0.5258000638956,0.776558992197776,-6.17657828473939,"stable","1627"
"4045","DBNDD1",-0.348802221984454,6.37432699057791,-0.782798121534643,0.440490011711558,0.716921721354854,-6.0778538651552,"stable","79007"
"4046","DBNL",-0.0545149432473657,8.78937107172928,-0.248547069344913,0.805573169692745,0.926096184831104,-6.35198315079712,"stable","28988"
"4047","DBP",0.91029933828647,7.49504200965937,2.11395918888453,0.0438024587718032,0.245949342744597,-4.30271079898545,"stable","1628"
"4048","DBR1",0.1920207590451,9.18730645708057,1.48844426318935,0.148106237940179,0.440592925644971,-5.31108778065384,"stable","51163"
"4049","DBT",-0.383140927365829,12.6396114401675,-1.82330440646886,0.0792360498878591,0.327736110576826,-4.80525174252772,"stable","1629"
"4050","DCAF1",-0.0841137727400731,10.409851351034,-0.681665137445118,0.501198647326597,0.760561756255634,-6.15098743437992,"stable","9730"
"4051","DCAF10",0.184897058265841,9.19324995484958,1.00088597802507,0.325679702346265,0.625977665475924,-5.88765494144633,"stable","79269"
"4052","DCAF11",0.0453142447851871,9.66696454506075,0.338178034548551,0.73781845129596,0.895016797847648,-6.32557532830333,"stable","80344"
"4053","DCAF12",0.00218998387100378,10.6121552983528,0.0164859448378792,0.986966725067643,0.995578840173026,-6.382934107868,"stable","25853"
"4054","DCAF12L1",0.324014416094355,4.78466167890776,0.749855445742553,0.459761627941607,0.733354297614788,-6.10274038675249,"stable","139170"
"4055","DCAF12L2",0.497567307621322,4.14048837368391,0.851296535787651,0.402017430866753,0.688263837122334,-6.02284669412743,"stable","340578"
"4056","DCAF13",-0.0420935247966128,10.791244781366,-0.28584699380038,0.777155163722092,0.912279014048703,-6.34196757733616,"stable","25879"
"4057","DCAF15",0.514116521995301,7.85946459273288,1.72849928547783,0.0952056762819939,0.356914852542682,-4.95681916669878,"stable","90379"
"4058","DCAF16",0.257529023547036,9.68753926842446,1.83377248129581,0.0776222569295762,0.325106509549251,-4.78812911653475,"stable","54876"
"4059","DCAF17",0.740804057908207,8.5192395974205,3.5316524383743,0.00149038632079712,0.0406437116659733,-1.23902891020952,"stable","80067"
"4060","DCAF4",0.301222123823933,7.66042977903555,1.58753820817492,0.123917844608533,0.402612377234575,-5.17012542348936,"stable","26094"
"4061","DCAF4L1",0.766167836891764,3.67758846934052,1.38554018752341,0.177114350129816,0.477017407544231,-5.44929937066445,"stable","285429"
"4062","DCAF4L2",-0.247259940488004,4.17550908230053,-0.440892066794064,0.662766282247099,0.858104026577234,-6.28549182553035,"stable","138009"
"4063","DCAF5",0.114111371628766,10.773383044985,0.843162006532085,0.406471934627848,0.691947572436243,-6.02960815355561,"stable","8816"
"4064","DCAF6",0.0459719140797947,10.9551769450814,0.341299010616284,0.735493988342075,0.894234978035103,-6.32451153123717,"stable","55827"
"4065","DCAF7",0.459678727450989,10.9576336569539,2.99581292742626,0.00576851973423834,0.0860344663188144,-2.49106087773191,"stable","10238"
"4066","DCAF8",0.201914987558562,9.84007133460608,0.975428251488684,0.337920647091325,0.636541809446431,-5.91210279108819,"stable","50717"
"4067","DCAF8L2",-0.0637721985455446,4.26772705385339,-0.106655441769787,0.915842982241568,0.969523723677326,-6.37734107398877,"stable","347442"
"4068","DCAKD",0.841508945664806,8.44576050393267,3.873936456313,0.00060905366549202,0.0240190502258876,-0.40129610198369,"stable","79877"
"4069","DCBLD1",-0.0500981191281245,8.22537868745734,-0.36039416699232,0.721328538257713,0.887389784475316,-6.31779202192172,"stable","285761"
"4070","DCBLD2",0.415890245246095,10.6449210157332,2.848392278872,0.00825857046436032,0.105139477071466,-2.81873281004797,"stable","131566"
"4071","DCC",-0.145358498381832,5.2493521101411,-0.379119362349907,0.707534834835706,0.881201321451647,-6.31085109297198,"stable","1630"
"4072","DCD",-0.214582260942656,3.96031883599608,-0.600349779315628,0.553229395611474,0.794702998777565,-6.20270541128225,"stable","117159"
"4073","DCDC1",-0.264754503631771,9.28564126355513,-1.53202597718485,0.137034414447671,0.422776094972984,-5.2500277785834,"stable","341019"
"4074","DCDC2",0.171128315026019,9.80345263019427,0.683615672186882,0.499984980327887,0.760087929723849,-6.14966890592199,"stable","51473"
"4075","DCDC2B",0.328554012744805,10.6022517745549,1.97705804941454,0.0582244275817725,0.283200293210617,-4.54627754384625,"stable","149069"
"4076","DCHS1",-1.02442925587941,5.10666007974071,-2.20371494752536,0.0361657818011374,0.223354215492992,-4.13675824820608,"DOWN","8642"
"4077","DCHS2",0.082393249623415,4.31554819135911,0.192212905889706,0.848999438143148,0.943825337234486,-6.364469797566,"stable","54798"
"4078","DCK",0.254137423718726,9.44242522461031,1.86761968215878,0.0725962957938773,0.315900276650654,-4.73224825792382,"stable","1633"
"4079","DCLK1",-0.299160135239914,8.33581962434723,-1.8937972612757,0.0689043747288054,0.308205790614674,-4.68849337926137,"stable","9201"
"4080","DCLK2",-0.622601713440877,4.26164033616748,-1.34716310108792,0.189014592320399,0.492410392730791,-5.49865682419082,"stable","166614"
"4081","DCLK3",-1.20438363766153,4.4357621325764,-2.51181056411235,0.0182267405839859,0.157909577268735,-3.53251649886752,"DOWN","85443"
"4082","DCLRE1A",-0.144410108967548,8.5840146191101,-1.07546001407546,0.291590955964797,0.5967988348217,-5.81269423064992,"stable","9937"
"4083","DCLRE1B",0.316527498669075,8.22719867472568,1.91770260223483,0.0656762616166995,0.300732697508249,-4.64813254045773,"stable","64858"
"4084","DCLRE1C",-0.738227669665005,10.2387469822048,-4.25791888348731,0.000219200684851859,0.0131030506801705,0.561428498934895,"stable","64421"
"4085","DCN",-0.443737823126344,7.22445829520872,-1.1350032785596,0.266250599025253,0.57469184037298,-5.74930582578333,"stable","1634"
"4086","DCP1A",0.107863591783918,9.41241866103535,0.901163842554239,0.375390430408187,0.666631044533248,-5.98005742522674,"stable","55802"
"4087","DCP1B",0.124023053430832,10.0942583258892,1.28622445600274,0.209176909462512,0.515516678701349,-5.57453856492461,"stable","196513"
"4088","DCP2",0.0793222966796989,10.8339616366836,0.515528135268565,0.610337842868259,0.829113968497217,-6.2498363656179,"stable","167227"
"4089","DCPS",-0.331538106100229,9.60950390106123,-2.11027217592711,0.0441448799593309,0.246573088543925,-4.30942396811868,"stable","28960"
"4090","DCST1",-1.04861247519978,3.22250027253372,-3.030162383616,0.00530082186157587,0.081854734031233,-2.41354048463063,"DOWN","149095"
"4091","DCST1-AS1",0.0945014544339431,7.41222277606396,0.420020493475821,0.677761019649612,0.866547183424049,-6.29448200719629,"stable","100505666"
"4092","DCST2",0.359933886831619,5.89785452086882,0.841653471065827,0.407301422050734,0.69239447017974,-6.03085529361788,"stable","127579"
"4093","DCSTAMP",-1.27732011968109,6.62270408968484,-2.44936918314033,0.0210106930177375,0.169106897274707,-3.65906004752652,"DOWN","81501"
"4094","DCT",-0.156451576154024,7.12758717615691,-0.669484554372509,0.508814822751653,0.765699692147802,-6.1591389684965,"stable","1638"
"4095","DCTD",0.21924867482984,10.5842635426701,2.14984938108791,0.040590991346724,0.237201473802621,-4.2369313813047,"stable","1635"
"4096","DCTN1",0.016766186927212,9.94618397456107,0.0952835017565492,0.924786281243919,0.971906213671881,-6.37849762910991,"stable","1639"
"4097","DCTN1-AS1",-0.999622652483258,7.05978398135377,-3.68253592000404,0.00100689852620842,0.0324998786911326,-0.872662664435481,"stable","100189589"
"4098","DCTN2",-0.0643841928743569,11.0713590923249,-0.528030841409794,0.601748119165437,0.824279684440396,-6.24332961084674,"stable","10540"
"4099","DCTN3",0.103886808040372,11.8534677076642,0.744250513605882,0.463089508163164,0.734965410988764,-6.1068726225111,"stable","11258"
"4100","DCTN4",0.0612195925657648,11.3084074020872,0.579101864769592,0.567272999316937,0.803861520972011,-6.21516822168143,"stable","51164"
"4101","DCTN5",-0.0851536641674571,9.42216836898337,-0.476134508687053,0.637770648559922,0.844345200239272,-6.26933732636208,"stable","84516"
"4102","DCTN6",-0.0904004925118489,11.1555793582161,-0.573781597581613,0.570817416783943,0.805908480157342,-6.218220264432,"stable","10671"
"4103","DCTPP1",-0.186600197439386,10.5527462247076,-1.47744473606233,0.151011867188455,0.444329813648582,-5.32626356721371,"stable","79077"
"4104","DCUN1D1",-0.0219585316878241,10.1302270876966,-0.167031780122011,0.868577294159284,0.951194724973804,-6.3690219222652,"stable","54165"
"4105","DCUN1D2",-0.302794233356607,7.42460819112756,-1.54056009392535,0.134947224620687,0.419876062645306,-5.23789817774059,"stable","55208"
"4106","DCUN1D3",0.335328551160308,7.57152697635037,1.22381780956855,0.231488581261419,0.539563674833885,-5.64902761482021,"stable","123879"
"4107","DCUN1D4",-0.510149599561844,9.9745842735912,-2.12494496423215,0.0427961777981998,0.243605419161267,-4.2826591163076,"stable","23142"
"4108","DCUN1D5",-0.113225887443788,9.95464314526013,-0.935283402801081,0.357850050318632,0.652233771601197,-5.94946184591711,"stable","84259"
"4109","DCX",-0.744410062703485,3.91191527599901,-1.39591625637329,0.17400012042075,0.473238680824326,-5.4357484811803,"stable","1641"
"4110","DCXR",0.308956046806477,10.4831828008302,1.34024448813419,0.191224755106199,0.495384433257858,-5.50742660671663,"stable","51181"
"4111","DDA1",0.265643243236898,9.71032900232056,1.26298586271143,0.217285375221643,0.523865422151151,-5.60266022361619,"stable","79016"
"4112","DDAH1",-0.0279641678292588,12.6966246786955,-0.23451157757481,0.816339464523974,0.930737661718636,-6.35539156091843,"stable","23576"
"4113","DDAH2",0.353029457246237,9.18200955424006,2.425028357991,0.0221981308669707,0.173293099115635,-3.70784916159053,"stable","23564"
"4114","DDB1",0.070549559015177,11.8791380820154,0.450520574392644,0.655896214959322,0.854139003525678,-6.28119966302455,"stable","1642"
"4115","DDB2",-0.1058848986327,9.43579985964495,-0.757876376522776,0.455023938855541,0.72975836846707,-6.09677528318139,"stable","1643"
"4116","DDC",-1.2530423146105,6.56869990388246,-3.07865892310822,0.00470162950276282,0.0774766150763333,-2.30337860400968,"DOWN","1644"
"4117","DDC-AS1",-1.05520686575136,4.36607499363811,-2.00919845827707,0.0545071751570966,0.274735126389792,-4.49016340096862,"stable","100129427"
"4118","DDHD1",0.347316173301117,8.7298260181208,1.64555153780283,0.111333638890746,0.382895215057491,-5.08412239772853,"stable","80821"
"4119","DDHD1-DT",-0.649867693468614,3.78338026912014,-1.2774018868465,0.212227645487261,0.517747647324793,-5.58526837044198,"stable","101927620"
"4120","DDHD2",0.104832885698176,10.015194097843,0.758822967101287,0.454466741024838,0.729314242404628,-6.0960673010898,"stable","23259"
"4121","DDI1",-1.03909497597648,4.83658210284772,-1.94662407709184,0.0619473565297867,0.291381884138093,-4.59879293962306,"stable","414301"
"4122","DDI2",0.311500630250507,10.654674162397,2.24089130125416,0.0333698813579243,0.214895856951363,-4.06662847491237,"stable","84301"
"4123","DDIAS",-1.24238545325314,5.59801302922728,-2.58703729920674,0.015326487481341,0.144027559385467,-3.37749420599047,"DOWN","220042"
"4124","DDIT3",0.11016658166338,9.06427395318643,0.784889593414334,0.439283205522241,0.716529568669233,-6.07623935063106,"stable","1649"
"4125","DDIT4",0.538125741685088,12.3108392363874,3.07176354692166,0.00478269730669457,0.0783176069170033,-2.31909179321709,"stable","54541"
"4126","DDIT4L",-0.180260870898046,5.87528951731919,-0.322916580342242,0.749221095939801,0.900463792112924,-6.33063768375465,"stable","115265"
"4127","DDN",-0.405938291762105,4.27059173976638,-1.10093114505692,0.280548420025666,0.587646739164533,-5.78595947161438,"stable","23109"
