,logFC,AveExpr,t,P.Value,adj.P.Val,B
GRAMD1A,8.75820086933942,8.48823950113264,53.575791970837,3.54316663039006e-29,7.40953711339188e-29,56.2670119983597
STX17-DT,9.62176450685804,9.55288534423984,53.5499919792064,3.58959227111726e-29,7.50587089907269e-29,56.2551132964411
CDADC1,8.57286049880422,8.59299988762399,53.5456645951211,3.59744068256044e-29,7.52152811380796e-29,56.2531168674866
FAM83A,8.2509278883646,8.09304106005557,53.5412409751036,3.60548201628451e-29,7.53758551194784e-29,56.2510758377
MAPK8IP2,6.99670708502098,7.19208723026131,53.5334773757565,3.61963988775376e-29,7.5664255850019e-29,56.2474932676768
ERAP1,10.2571616753819,10.5026046447683,53.5303715815781,3.62531980579163e-29,7.57753950389991e-29,56.2460598993662
RAB17,9.03144348959897,8.94499118604965,53.5256687262878,3.6339380390851e-29,7.59479216303279e-29,56.2438892722744
ZDHHC18,7.606472170971,7.61528642178282,53.5177328988344,3.64852904114495e-29,7.62452297469358e-29,56.2402259249148
CYP2A7,8.27090944230084,8.05908584478152,53.5175017218333,3.64895499765899e-29,7.62464935508431e-29,56.2401191987862
STRA6,8.50896818293485,8.63233056344595,53.5129451721386,3.65736122134803e-29,7.64144915370682e-29,56.2380154889551
ZNF295-AS1,10.1058441561707,9.87746050177108,53.4926123344012,3.69511789307389e-29,7.71956233580086e-29,56.2286253850854
LY6E,10.9609739252203,10.7392078045413,53.4579343572007,3.7604472221795e-29,7.85525682878829e-29,56.2126004100768
ZMYM5,7.60708767539111,7.75399345966502,53.4552377050531,3.76557730633317e-29,7.8651855991913e-29,56.2113537363273
RGS10,9.34007794956959,9.49185974786575,53.4538089613038,3.76829827298333e-29,7.87008094613857e-29,56.2106931910757
SMARCAD1,9.76259709654793,9.78834299308673,53.4490847002516,3.77730989403512e-29,7.88811201294902e-29,56.2085088901718
KRT17,9.76019545298088,9.78314248086466,53.4485809690708,3.77827208792778e-29,7.88933162830041e-29,56.2082759720945
ABCA7,8.49410923538264,8.44429316279738,53.4346916285272,3.80490288544572e-29,7.94414371458852e-29,56.2018526901941
TRANK1,8.25033785746416,8.30401044438187,53.4234449298439,3.82660929656765e-29,7.98866437956514e-29,56.1966500426089
MACC1,9.73331402911626,9.62807110786675,53.4111841718504,3.85041913311693e-29,8.03756693566995e-29,56.190976783145
USP53,9.25276909974328,9.16654335307706,53.4085900775107,3.85547639498951e-29,8.04731851448436e-29,56.1897762493598
H2BC10,8.34978006099181,8.27931393057179,53.3848905563393,3.9019992515604e-29,8.14360828191807e-29,56.1788049528428
RNF213,8.99540164034346,8.94538459237796,53.3739678415822,3.9236363455442e-29,8.18794652803272e-29,56.1737464750151
